tares,t,a,r,e,s,13385,5281,18666
lares,l,a,r,e,s,13423,5162,18585
rales,r,a,l,e,s,13423,5012,18435
rates,r,a,t,e,s,13385,4896,18281
nares,n,a,r,e,s,13214,5036,18249
dares,d,a,r,e,s,12964,5216,18180
tales,t,a,l,e,s,12992,5106,18097
cares,c,a,r,e,s,12752,5334,18086
aeros,a,e,r,o,s,13957,4110,18066
pares,p,a,r,e,s,12747,5303,18050
mares,m,a,r,e,s,12726,5220,17945
toeas,t,o,e,a,s,13525,4413,17938
aloes,a,l,o,e,s,13563,4357,17920
bares,b,a,r,e,s,12551,5328,17879
lanes,l,a,n,e,s,12820,5045,17865
arles,a,r,l,e,s,13423,4405,17828
tores,t,o,r,e,s,12609,5197,17806
reais,r,e,a,i,s,13617,4165,17782
gares,g,a,r,e,s,12560,5192,17752
hares,h,a,r,e,s,12618,5118,17735
lores,l,o,r,e,s,12647,5078,17725
teras,t,e,r,a,s,13385,4337,17722
rases,r,a,s,e,s,12848,4855,17703
aures,a,u,r,e,s,12993,4704,17697
earls,e,a,r,l,s,13423,4247,17670
oases,o,a,s,e,s,12988,4672,17660
laers,l,a,e,r,s,13423,4200,17623
dales,d,a,l,e,s,12571,5041,17611
roles,r,o,l,e,s,12647,4929,17576
tears,t,e,a,r,s,13385,4178,17563
races,r,a,c,e,s,12752,4784,17536
reals,r,e,a,l,s,13423,4111,17534
nates,n,a,t,e,s,12782,4745,17527
soare,s,o,a,r,e,13957,3569,17526
rapes,r,a,p,e,s,12747,4770,17517
lears,l,e,a,r,s,13423,4059,17482
pales,p,a,l,e,s,12354,5128,17481
earns,e,a,r,n,s,13214,4255,17469
fares,f,a,r,e,s,12295,5172,17467
dates,d,a,t,e,s,12533,4925,17457
rones,r,o,n,e,s,12438,4987,17424
rotes,r,o,t,e,s,12609,4813,17422
aeons,a,e,o,n,s,13354,4052,17406
males,m,a,l,e,s,12332,5045,17377
canes,c,a,n,e,s,12149,5217,17366
tases,t,a,s,e,s,12417,4948,17365
cates,c,a,t,e,s,12320,5043,17363
wares,w,a,r,e,s,12257,5080,17337
taels,t,a,e,l,s,12992,4345,17336
reans,r,e,a,n,s,13214,4119,17333
panes,p,a,n,e,s,12144,5186,17330
rages,r,a,g,e,s,12560,4770,17330
lades,l,a,d,e,s,12571,4758,17328
pates,p,a,t,e,s,12316,5012,17327
dores,d,o,r,e,s,12188,5132,17320
bales,b,a,l,e,s,12158,5153,17310
saree,s,a,r,e,e,12848,4438,17285
lases,l,a,s,e,s,12455,4829,17284
kaies,k,a,i,e,s,12291,4988,17278
toles,t,o,l,e,s,12216,5022,17238
braes,b,r,a,e,s,12551,4685,17236
tames,t,a,m,e,s,12294,4937,17231
cores,c,o,r,e,s,11976,5251,17226
manes,m,a,n,e,s,12123,5103,17225
mates,m,a,t,e,s,12294,4929,17223
rakes,r,a,k,e,s,12490,4724,17214
taces,t,a,c,e,s,12320,4878,17198
teals,t,e,a,l,s,12992,4204,17196
pores,p,o,r,e,s,11971,5219,17190
gales,g,a,l,e,s,12166,5017,17183
tapes,t,a,p,e,s,12316,4864,17179
yales,y,a,l,e,s,12381,4789,17170
hales,h,a,l,e,s,12224,4943,17167
aides,a,i,d,e,s,12765,4398,17162
banes,b,a,n,e,s,11948,5211,17159
bates,b,a,t,e,s,12120,5037,17156
lames,l,a,m,e,s,12332,4818,17150
nears,n,e,a,r,s,13214,3933,17147
leats,l,e,a,t,s,12992,4149,17140
laces,l,a,c,e,s,12358,4759,17117
tires,t,i,r,e,s,12270,4841,17110
saner,s,a,n,e,r,13214,3896,17110
arses,a,r,s,e,s,12848,4248,17096
arets,a,r,e,t,s,13385,3708,17093
tones,t,o,n,e,s,12006,5080,17086
mores,m,o,r,e,s,11950,5136,17086
vares,v,a,r,e,s,12085,4994,17079
dears,d,e,a,r,s,12964,4113,17077
eards,e,a,r,d,s,12964,4097,17061
roues,r,o,u,e,s,12217,4838,17055
sared,s,a,r,e,d,12964,4088,17052
gates,g,a,t,e,s,12128,4901,17029
ayres,a,y,r,e,s,12775,4246,17020
bores,b,o,r,e,s,11775,5244,17019
yates,y,a,t,e,s,12343,4673,17016
hates,h,a,t,e,s,12186,4827,17013
lotes,l,o,t,e,s,12216,4787,17003
kales,k,a,l,e,s,12097,4886,16983
aunes,a,u,n,e,s,12390,4587,16977
apres,a,p,r,e,s,12747,4226,16973
tabes,t,a,b,e,s,12120,4849,16969
acres,a,c,r,e,s,12752,4198,16950
pears,p,e,a,r,s,12747,4200,16947
claes,c,l,a,e,s,12358,4571,16929
reads,r,e,a,d,s,12964,3961,16925
leans,l,e,a,n,s,12820,4094,16914
gores,g,o,r,e,s,11784,5109,16892
rodes,r,o,d,e,s,12188,4700,16888
riles,r,i,l,e,s,12308,4572,16880
yores,y,o,r,e,s,11999,4880,16879
takes,t,a,k,e,s,12059,4818,16876
salet,s,a,l,e,t,12992,3865,16857
toras,t,o,r,a,s,12273,4571,16844
roses,r,o,s,e,s,12072,4771,16843
kanes,k,a,n,e,s,11887,4944,16831
cades,c,a,d,e,s,11899,4930,16829
noles,n,o,l,e,s,12044,4777,16821
tries,t,r,i,e,s,12270,4546,16815
names,n,a,m,e,s,12123,4692,16815
orles,o,r,l,e,s,12647,4168,16815
eorls,e,o,r,l,s,12647,4163,16810
neats,n,e,a,t,s,12782,4023,16805
lakes,l,a,k,e,s,12097,4699,16795
raves,r,a,v,e,s,12085,4708,16793
cases,c,a,s,e,s,11783,5002,16785
neals,n,e,a,l,s,12820,3959,16779
bears,b,e,a,r,s,12551,4225,16776
antes,a,n,t,e,s,12782,3992,16774
wales,w,a,l,e,s,11864,4905,16768
napes,n,a,p,e,s,12144,4619,16763
doles,d,o,l,e,s,11795,4957,16752
oaves,o,a,v,e,s,12225,4525,16750
pases,p,a,s,e,s,11779,4970,16749
fanes,f,a,n,e,s,11692,5055,16747
dames,d,a,m,e,s,11873,4872,16745
fates,f,a,t,e,s,11864,4881,16745
